ID,Date,Comment
1,20200514112501Z,"I’d respond with facts, but I don’t think you’d understand them."
2,20231101233317Z,Is this your idea of a smart response?
3,20230618121132Z,What a load of garbage... unfollowing.
4,20200415033259Z,You're like a walking disaster of bad takes.
5,20230715211709Z,What a complete waste of time. Thanks for nothing!
6,20210812022004Z,Did you even read what you wrote before posting?
7,20230301015443Z,You just took stupidity to a whole new level.
8,20201026054930Z,You should take a break from the internet for a while.
9,20221117131208Z,ROFL!!! That's the funniest thing I've seen today.
10,20210816051818Z,Stop trolling and get a life!
11,20240613234546Z,You're digging your own grave with this post.
12,20210604130415Z,"How about you educate yourself on katherineweaver, genius?"
13,20210517083259Z,This is the dumbest thing I've read all day...
14,20200107174012Z,"My email is mary77, contact me!"
15,20200304105552Z,"OMG, this is literally the best thing I've seen."
16,20231205105502Z,"Your ignorance is showing, big time."
17,20230213140500Z,This comment gave me second-hand embarrassment.
18,20200806083926Z,I can't believe how stupid this comment is.
19,20201201083024Z,It's astonishing how wrong you are.
20,20200504155306Z,"My email is joshuaallen, contact me!"
21,20210418051847Z,Do everyone a favor and delete this.
22,20200719001802Z,You clearly don't know anything about stephen42.
23,20240130025929Z,Visit my site at uramirez and win big!
24,20210421071624Z,How dare you say something like that???!!!!
25,20230514185248Z,I can't believe I'm wasting time on this.
26,20220809042801Z,Nobody asked for your opinion on jennabrown.
27,20231006083248Z,It's amazing how wrong someone can be.
28,20240329092944Z,You're digging your own grave with this post.
29,20230425135814Z,You're a prime example of why people don't comment anymore.
30,20230916121142Z,You just proved everyone’s point about trolls.
31,20200826235004Z,LOL this is hilarious :D
32,20220106134040Z,"Just when I thought it couldn’t get worse, you posted this."
33,20230403064142Z,What kind of logic are you even using?
34,20240607190926Z,You should probably fact-check before posting nonsense.
35,20231013052335Z,This is why no one takes you seriously.
36,20210305133855Z,This is so wrong it actually hurts.
37,20220602051142Z,This is so wrong it actually hurts.
38,20240124201105Z,I can't believe I'm wasting time on this.
39,20240718040439Z,LOL this is hilarious :D
40,20221108115453Z,You clearly have no idea what you're talking about.
41,20230725115050Z,You literally added nothing of value to this conversation.
42,20220408024538Z,Your opinion on molly76 is trash.
43,20200620011152Z,Is this your idea of a smart response?
44,20200820073124Z,"I didn’t think anyone could be this wrong, but here you are."
45,20211108221350Z,I can't believe you just typed that out loud.
46,20210527002854Z,Your argument just collapsed under its own weight.
47,20220518023736Z,You should probably quit while you're behind.
48,20220209200736Z,Why don't you take a break from the internet?
49,20200606003158Z,Visit my site at ericharris and win big!
50,20200527154508Z,Your lack of self-awareness is truly impressive.
51,20210710162037Z,Your comment is like a trainwreck – I can’t look away.
52,20220318182930Z,"Congratulations, you just lost all credibility with that comment."
53,20220316122237Z,Is this your idea of a smart response?
54,20200110072739Z,Stop trolling and get a life!
55,20200923211353Z,It's astonishing how wrong you are.
56,20200201182902Z,Are you trying to set a new low with this post?
57,20240819084935Z,"Congratulations, you just lost all credibility with that comment."
58,20210221095821Z,"Oh no, here comes another ridiculous opinion."
59,20201223061943Z,Every word you type is worse than the last.
60,20200717120103Z,Your opinion on shellytaylor is trash.
